season,team_id,team_name,train_offense_coeff,train_defense_coeff,test_offense_coeff,test_defense_coeff
2023,149,Oregon,2.0440880938705637,-2.0440880938705637,2.270425030512979,-2.270425030512979
2023,144,Ohio State,1.8363168802339236,-1.8363168802339236,1.5142372033730314,-1.5142372033730314
2023,62,Georgia,1.8216152718061813,-1.8216152718061813,1.9475152872823693,-1.9475152872823693
2023,151,Penn State,1.817238450066462,-1.817238450066462,1.3880292614725673,-1.3880292614725673
2023,191,Texas,1.7518720485488835,-1.7518720485488835,1.1255913923804954,-1.1255913923804954
2023,145,Oklahoma,1.7192421322385925,-1.7192421322385925,1.619795627860782,-1.619795627860782
2023,8,Arizona,1.6887467174488437,-1.6887467174488437,0.5155284980433935,-0.5155284980433935
2023,109,Michigan,1.6479250472951543,-1.6479250472951543,2.0309864889834803,-2.0309864889834803
2023,150,Oregon State,1.6272797297545407,-1.6272797297545407,0.9498037492196632,-0.9498037492196632
2023,3,Alabama,1.5785562223062992,-1.5785562223062992,1.3114902063310983,-1.3114902063310983
2023,85,Kansas State,1.57245446941534,-1.57245446941534,1.2694077093920029,-1.2694077093920029
2023,142,Notre Dame,1.5665270230489163,-1.5665270230489163,1.4999080746632958,-1.4999080746632958
2023,57,Florida State,1.5115809511251506,-1.5115809511251506,1.2744145260531647,-1.2744145260531647
2023,114,Missouri,1.5048857613719804,-1.5048857613719804,0.9595959272118112,-0.9595959272118112
2023,225,Washington,1.4902167601897642,-1.4902167601897642,1.4577404056475822,-1.4577404056475822
2023,89,LSU,1.4583105331760473,-1.4583105331760473,1.6350543074008947,-1.6350543074008947
2023,192,Texas A&M,1.283279713087594,-1.283279713087594,1.5079761142757617,-1.5079761142757617
2023,148,Ole Miss,1.2652325255999082,-1.2652325255999082,1.1694266806448925,-1.1694266806448925
2023,226,Washington State,1.26289946853839,-1.26289946853839,0.19422904349015568,-0.19422904349015568
2023,84,Kansas,1.250980394602977,-1.250980394602977,0.6871082134188107,-0.6871082134188107
2023,214,Utah,1.1800781129669695,-1.1800781129669695,0.7916685941816809,-0.7916685941816809
2023,188,Tennessee,1.1706002329276424,-1.1706002329276424,1.3552193946169233,-1.3552193946169233
2023,162,SMU,1.1434941198040018,-1.1434941198040018,1.2105988242579455,-1.2105988242579455
2023,210,USC,1.121656232146775,-1.121656232146775,1.258229504091688,-1.258229504091688
2023,80,Iowa State,1.117231346798019,-1.117231346798019,0.7624897046704833,-0.7624897046704833
2023,58,Fordham,1.0993035316683522,-1.0993035316683522,-0.8137202187107464,0.8137202187107464
2023,93,Liberty,1.094804580857208,-1.094804580857208,0.7995363518685041,-0.7995363518685041
2023,20,Boise State,1.0936829853814174,-1.0936829853814174,0.34272319301157794,-0.34272319301157794
2023,27,California,1.0900257063170085,-1.0900257063170085,0.39247734128050565,-0.39247734128050565
2023,98,Louisville,1.0556627855023342,-1.0556627855023342,1.8736371829872434,-1.8736371829872434
2023,199,Troy,0.9653101002744671,-0.9653101002744671,0.8600959849733177,-0.8600959849733177
2023,14,Auburn,0.9652646224607002,-0.9652646224607002,1.0911255689818664,-1.0911255689818664
2023,163,Sacramento State,0.9314795171800271,-0.9314795171800271,0.6166976854306038,-0.6166976854306038
2023,206,UCLA,0.9306037276141109,-0.9306037276141109,0.7576431777697364,-0.7576431777697364
2023,205,UCF,0.9264941735807813,-0.9264941735807813,0.8731512228352183,-0.8731512228352183
2023,83,James Madison,0.9252804762173353,-0.9252804762173353,0.8376172957825131,-0.8376172957825131
2023,107,Miami,0.906852967188308,-0.906852967188308,1.3017368669900429,-1.3017368669900429
2023,43,Duke,0.8650338223354566,-0.8650338223354566,0.855152784986859,-0.855152784986859
2023,169,South Alabama,0.8490034799486675,-0.8490034799486675,0.5718138314816387,-0.5718138314816387
2023,185,TCU,0.8474302743388893,-0.8474302743388893,0.7602619202415666,-0.7602619202415666
