offense,total_attempts,actual_conversion_rate,avg_predicted_prob
Abilene Christian,21,95.24%,74.91%
Air Force,82,71.95%,78.55%
Akron,118,70.34%,76.60%
Alabama,113,84.96%,76.99%
Alabama A&M,15,100.00%,75.11%
Alcorn State,7,85.71%,71.90%
App State,107,75.70%,79.00%
Arizona,86,83.72%,78.86%
Arizona State,132,80.30%,76.83%
Arkansas,127,87.40%,76.35%
Arkansas State,106,65.09%,78.06%
Arkansas-Pine Bluff,13,100.00%,75.74%
Army,110,61.82%,77.54%
Auburn,113,78.76%,75.75%
Austin Peay,14,92.86%,78.60%
BYU,132,78.03%,76.40%
Ball State,111,75.68%,77.52%
Baylor,128,76.56%,78.51%
Bethune-Cookman,25,52.00%,71.44%
Boise State,95,85.26%,78.01%
Boston College,114,78.95%,77.78%
Bowling Green,95,72.63%,78.11%
Bryant,10,30.00%,78.36%
Bucknell,13,46.15%,74.43%
Buffalo,126,70.63%,77.01%
Cal Poly,12,66.67%,78.28%
California,117,88.03%,78.37%
Campbell,12,83.33%,75.49%
Central Arkansas,8,25.00%,74.88%
Central Connecticut,11,9.09%,74.40%
Central Michigan,123,73.98%,76.22%
Charleston Southern,13,92.31%,74.36%
Charlotte,143,61.54%,77.24%
Chattanooga,12,66.67%,73.18%
Cincinnati,114,85.96%,78.07%
Clemson,124,78.23%,78.42%
Coastal Carolina,100,88.00%,79.60%
Colgate,15,0.00%,70.79%
Colorado,128,75.78%,76.40%
Colorado State,119,78.99%,76.77%
Delaware,12,83.33%,71.52%
Delaware State,23,43.48%,75.48%
Duke,104,73.08%,77.23%
Duquesne,19,63.16%,76.00%
East Carolina,134,65.67%,76.99%
East Tennessee State,10,90.00%,75.23%
East Texas A&M,12,16.67%,76.02%
Eastern Illinois,11,90.91%,78.11%
Eastern Kentucky,16,75.00%,77.84%
Eastern Michigan,110,69.09%,75.25%
Eastern Washington,12,66.67%,77.72%
Elon,15,40.00%,73.60%
Florida,105,91.43%,77.40%
Florida A&M,10,100.00%,76.84%
Florida Atlantic,116,69.83%,76.55%
Florida International,125,83.20%,75.55%
Florida State,130,83.08%,76.94%
Fordham,7,85.71%,81.83%
Fresno State,96,92.71%,77.74%
Furman,9,100.00%,75.34%
Gardner-Webb,18,38.89%,75.44%
Georgia,91,92.31%,79.21%
Georgia Southern,102,85.29%,78.93%
Georgia State,108,81.48%,76.66%
Georgia Tech,96,76.04%,77.95%
Grambling,9,100.00%,73.31%
Hawai'i,131,64.12%,76.59%
Holy Cross,13,46.15%,77.40%
Houston,110,69.09%,77.30%
Houston Christian,4,75.00%,75.40%
Howard,16,43.75%,78.64%
Idaho,24,100.00%,80.87%
Idaho State,17,94.12%,76.87%
Illinois,111,82.88%,77.26%
Incarnate Word,10,80.00%,77.83%
Indiana,112,79.46%,76.70%
Indiana State,19,31.58%,75.97%
Iowa,141,70.21%,76.61%
Iowa State,115,75.65%,77.63%
Jackson State,12,75.00%,76.41%
Jacksonville State,114,85.09%,76.99%
James Madison,104,85.58%,78.28%
Kansas,75,78.67%,78.65%
Kansas State,96,89.58%,78.18%
Kennesaw State,8,100.00%,79.48%
Kent State,131,74.81%,76.59%
Kentucky,85,78.82%,75.94%
LSU,70,85.71%,79.67%
Lafayette,7,71.43%,78.40%
Lamar,11,18.18%,76.13%
Liberty,73,93.15%,78.44%
Long Island University,18,55.56%,76.53%
Louisiana,92,81.52%,77.47%
Louisiana Tech,113,80.53%,77.45%
Louisville,120,82.50%,77.00%
Maine,10,90.00%,80.24%
Marshall,119,69.75%,76.55%
Maryland,93,86.02%,79.02%
Massachusetts,100,67.00%,76.13%
McNeese,10,0.00%,75.49%
Memphis,94,86.17%,78.85%
Mercer,12,100.00%,76.10%
Merrimack,10,90.00%,75.82%
Miami,102,84.31%,77.86%
Miami (OH),112,83.93%,78.19%
Michigan,95,87.37%,78.76%
Michigan State,121,59.50%,75.90%
Middle Tennessee,120,76.67%,77.02%
Minnesota,120,84.17%,78.07%
Mississippi State,126,75.40%,78.12%
Missouri,91,91.21%,78.58%
Missouri State,9,66.67%,74.48%
Monmouth,15,80.00%,74.35%
Morgan State,13,53.85%,75.46%
Murray State,23,30.43%,73.48%
NC State,123,82.93%,77.54%
Navy,142,61.27%,76.60%
Nebraska,100,69.00%,76.74%
Nevada,122,78.69%,76.24%
New Hampshire,6,100.00%,75.23%
New Mexico,102,85.29%,76.53%
New Mexico State,103,83.50%,78.19%
Nicholls,23,43.48%,76.98%
Norfolk State,11,81.82%,78.49%
North Alabama,12,83.33%,74.08%
North Carolina,103,88.35%,77.84%
North Carolina A&T,8,100.00%,78.10%
North Carolina Central,11,0.00%,73.39%
North Dakota,12,83.33%,74.21%
North Texas,104,78.85%,78.53%
Northern Arizona,17,70.59%,76.78%
Northern Colorado,9,44.44%,75.46%
Northern Illinois,100,77.00%,77.87%
Northern Iowa,11,45.45%,76.75%
Northwestern,109,69.72%,76.52%
Northwestern State,29,75.86%,75.43%
Notre Dame,87,87.36%,76.48%
Ohio,102,83.33%,79.20%
Ohio State,94,85.11%,78.63%
Oklahoma,90,92.22%,78.14%
Oklahoma State,144,83.33%,78.35%
Old Dominion,122,68.85%,77.03%
Ole Miss,117,88.89%,77.04%
Oregon,81,90.12%,78.53%
Oregon State,90,91.11%,78.91%
Penn State,110,86.36%,78.54%
Pittsburgh,119,78.99%,76.10%
Portland State,22,77.27%,76.69%
Prairie View A&M,11,0.00%,74.17%
Purdue,124,59.68%,77.90%
Rhode Island,9,77.78%,78.11%
Rice,106,86.79%,77.54%
Richmond,11,9.09%,74.82%
Robert Morris,11,9.09%,80.13%
Rutgers,116,75.86%,77.30%
SE Louisiana,18,72.22%,75.98%
SMU,111,90.09%,78.87%
Sacramento State,6,66.67%,81.64%
Sacred Heart,11,45.45%,76.18%
Sam Houston,123,67.48%,76.31%
Samford,10,40.00%,75.15%
San Diego State,114,69.30%,78.47%
San José State,90,84.44%,79.21%
South Alabama,101,81.19%,77.92%
South Carolina,131,90.08%,76.44%
South Carolina State,21,71.43%,76.61%
South Dakota,10,80.00%,76.28%
South Florida,142,90.85%,77.90%
Southeast Missouri State,10,0.00%,74.53%
Southern Illinois,12,75.00%,73.59%
Southern Miss,126,74.60%,77.11%
Southern Utah,18,88.89%,75.28%
