offense,total_attempts,actual_conversion_rate,avg_predicted_prob
Air Force,25,48.00%,31.77%
Akron,36,22.22%,28.09%
Alabama,29,31.03%,31.34%
App State,35,34.29%,30.87%
Arizona,29,37.93%,31.47%
Arizona State,65,27.69%,31.15%
Arkansas,34,38.24%,33.30%
Arkansas State,29,20.69%,29.38%
Army,40,37.50%,32.19%
Auburn,39,25.64%,28.25%
BYU,44,31.82%,28.38%
Ball State,33,30.30%,28.17%
Baylor,60,33.33%,28.98%
Boise State,21,47.62%,30.18%
Boston College,46,52.17%,31.60%
Bowling Green,32,37.50%,27.51%
Buffalo,51,31.37%,31.22%
California,45,40.00%,29.64%
Central Michigan,37,32.43%,32.30%
Charlotte,61,32.79%,32.71%
Cincinnati,47,23.40%,32.66%
Clemson,45,28.89%,27.71%
Coastal Carolina,42,23.81%,29.68%
Colorado,41,29.27%,26.92%
Colorado State,48,27.08%,29.32%
Duke,30,33.33%,32.41%
East Carolina,42,19.05%,28.26%
Eastern Michigan,31,32.26%,30.00%
Florida,42,30.95%,27.07%
Florida Atlantic,42,28.57%,27.99%
Florida International,37,32.43%,29.78%
Florida State,36,36.11%,28.81%
Fresno State,17,47.06%,34.66%
Georgia,24,25.00%,33.06%
Georgia Southern,31,29.03%,29.60%
Georgia State,41,34.15%,30.59%
Georgia Tech,37,32.43%,30.62%
Hawai'i,50,30.00%,29.76%
Houston,43,27.91%,29.21%
Illinois,42,26.19%,32.98%
Indiana,43,20.93%,32.29%
Iowa,32,15.62%,28.20%
Iowa State,31,35.48%,30.19%
Jacksonville State,31,25.81%,29.12%
James Madison,30,23.33%,29.45%
Kansas,22,31.82%,31.87%
Kansas State,34,32.35%,30.78%
Kent State,32,28.12%,30.04%
Kentucky,19,15.79%,28.25%
LSU,26,19.23%,31.13%
Liberty,30,43.33%,34.49%
Louisiana,33,33.33%,30.53%
Louisiana Tech,44,31.82%,33.19%
Louisville,31,25.81%,32.78%
Marshall,36,13.89%,29.92%
Maryland,32,25.00%,29.96%
Massachusetts,29,24.14%,29.11%
Memphis,33,33.33%,30.46%
Miami,36,27.78%,29.53%
Miami (OH),28,21.43%,28.96%
Michigan,34,38.24%,33.22%
Michigan State,36,36.11%,28.41%
Middle Tennessee,38,31.58%,29.74%
Minnesota,33,30.30%,30.54%
Mississippi State,43,27.91%,30.01%
Missouri,26,30.77%,28.23%
NC State,34,26.47%,31.09%
Navy,47,27.66%,30.51%
Nebraska,27,37.04%,32.25%
Nevada,35,28.57%,29.09%
New Mexico,35,25.71%,27.36%
New Mexico State,36,36.11%,29.23%
North Carolina,36,25.00%,28.50%
North Texas,46,36.96%,30.46%
Northern Illinois,29,31.03%,31.03%
Northwestern,21,14.29%,26.80%
Notre Dame,23,43.48%,31.08%
Ohio,29,27.59%,29.30%
Ohio State,29,20.69%,31.08%
Oklahoma,32,40.62%,30.36%
Oklahoma State,40,25.00%,30.40%
Old Dominion,41,14.63%,25.22%
Ole Miss,49,36.73%,30.98%
Oregon,31,41.94%,32.99%
Oregon State,40,30.00%,30.38%
Penn State,38,44.74%,31.76%
Pittsburgh,41,17.07%,28.24%
Purdue,45,22.22%,29.56%
Rice,42,33.33%,28.68%
Rutgers,39,25.64%,30.87%
SMU,42,47.62%,32.24%
Sam Houston,33,36.36%,26.55%
San Diego State,34,20.59%,31.04%
San José State,30,13.33%,29.34%
South Alabama,36,33.33%,30.81%
South Carolina,49,12.24%,27.83%
South Florida,72,27.78%,28.49%
Southern Miss,39,25.64%,29.55%
Stanford,46,26.09%,30.83%
Syracuse,29,34.48%,31.64%
TCU,38,39.47%,31.32%
Temple,49,32.65%,31.49%
Tennessee,25,24.00%,30.08%
Texas,51,41.18%,33.40%
Texas A&M,41,26.83%,31.56%
Texas State,44,43.18%,33.13%
Texas Tech,48,39.58%,33.57%
Toledo,41,36.59%,30.64%
Troy,41,26.83%,29.63%
Tulane,53,39.62%,29.47%
Tulsa,30,36.67%,29.34%
UAB,41,26.83%,33.03%
UCF,26,53.85%,31.10%
UCLA,39,35.90%,24.98%
UConn,25,24.00%,29.74%
UL Monroe,45,24.44%,26.32%
UNLV,29,24.14%,30.44%
USC,30,40.00%,29.82%
UTEP,55,27.27%,30.58%
UTSA,38,34.21%,33.52%
Utah,42,30.95%,29.53%
Utah State,48,37.50%,30.02%
Vanderbilt,45,22.22%,28.27%
Virginia,36,19.44%,30.04%
Virginia Tech,45,31.11%,28.77%
Wake Forest,34,29.41%,28.97%
Washington,35,28.57%,31.19%
Washington State,41,29.27%,32.46%
West Virginia,45,33.33%,32.87%
Western Kentucky,35,37.14%,31.93%
Western Michigan,56,28.57%,32.42%
Wisconsin,30,20.00%,29.03%
Wyoming,19,26.32%,30.48%
